Predicted Labels,Review
OR,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online
OR,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase."
OR,The phone is hanging. Video quality is not very good.
CG,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.
OR,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.
CG,Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon
OR,"Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating."
CG,Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. It’s heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Don’t watch any reviews. Just buy it and enjoy. Yes it’s expensive. Sometimes rather many times money is not worth than happiness.
CG,"Great Phone, I am happy with the phone so far."
CG,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB."
CG,Don’t buy this phone only waste of money it hang’s many time.
CG,STEVE JOBS GONE i phone gone !!!!!!
CG,Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.
CG,It is not supporting any type of sim.. the network gets disconnected after sometime only
OR,"i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but don’t have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase."
OR,This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.
OR,Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty
OR,All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules
OR,I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.
CG,there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!
CG,"Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone"
OR,"Using around a week now. It’s snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp."
CG,This is by far the best smartphone i have ever owned.
CG,"A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size"
OR,"NEVER BUY it from Amazon. VERY POOR PRODUCT AND CUSTOMER CARE.i bought it and received it on 3.10.2019 and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on 4.10.2019. they assured a replacement. nothing happened. when i called them a number of times, they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back. Apple says it is the duty of amazon to take measures for replacement. Still left nowhere with my money gone on a damaged product."
CG,Extremely easy to use. Good specifications.
OR,Best iPhone I’ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this would’ve been wonderful but apple being apple wont do that!
CG,Poor Front camera cannot take photo with light at background (photo attached)
CG,"This is my first phone from Apple. I was in confusion in buying between pixel and iphone. Even though pixel is far superior than apple in all departments, I went for iphone due to craziness. The product is well packed and delivered. When I started using the phone, the screen looks average, battery is good and the hardware seems good. The camera disappoints me al lot. Never expect this from Apple. In particular, the front camera is worst, in indoor lightning conditions and can see dots in image like a VGA camera.  At a cost of 60k, I was more so curious about the camera. It disappoints me badly. Even my motorola camera works well. If you are crazzy for the brand, go for it. Else definitely, you can go for other models in the market."
OR,This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.
CG,"Most Beautiful, Fast and Stylish iPhone, I've ever Had.."
OR,"Like every time, Apple has again mesmerised me with it’s great creation iPhone XR. The best part in this is when you unbox your brand new iPhone. It comes with an earpod, and a Fast charger. I understand that the price might be a bit high but trust me, it’s worth it. The camera has the best feature within it. Everyone says that it’s an LCD screen but you’ll nit be able to differentiate just by looking at the screen. The phone performance  is more faster now. And last but not the least, I am really impressed with the battery back up time. It really lasts. Full charge at 10 am and then the whole day on Cellular Data, I have played PES2019, played some songs from YouTube Music, hovering on Whatsapp, Instagram, Facebook and clicked some good photos. When i came back home at 11 o’clock, i still had 66% charge. That’s what we needed in an iPhone."
OR,iPhone XR is excellent there is no doubt about this. This first time my iPhone experience. Its great experience. But I am very unhappy about the dual sim performance (May be solved the problem).
OR,Been a iPhone user always. Upgraded to iPhone XR from iPhone 6 and I have no regrets. Just love the ease that face recognition brings in... freedom that 128GB memory brings in... and of course peace of mind that Apple brand name brings in.
CG,the phone wont turn on
OR,"A lot of criticism of iPhone XR has been about its inability to take portrait pics of “only human faces!” Though true, it can be very easily overcome by downloading a software app - “Halide!” That and the near negligible difference in viewing experience, puts it on par with iPhone XS and even XS Max! Just go for it— the 256 GB storage version!"
CG,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.
OR,Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.
OR, Iphone is good but probably I have received a defective piece from amazon as I am facing issues with software. Further never heard a iphone to be hanging issue but I am facing the same and attached a video regarding it. Within a month I have to visit customer care and still facing issues. Very worst experience don’t buy it from amazon.
CG,"Super fast performance, long battery hours, little heavier than iphone 7 plus. Overall good phone."
OR,Has many drawbacks. Apps developed for iPhone by Indian Companies aren’t good at all. You can’t even do a normal Tatkal booking as irctc app unavailable. No dual Whatsapp so one number is wasted. No dual Facebook as well. Maximum 5gb cloud backup storage limit. Apps get refreshed more frequently and better enhancements on android. No features to search apps easily. Wifi once disconnected loses auto join features. Maximum 100 call records that’s very very annoying. Difficult to set primary and secondary sims in sms. Some Whatsapp features missing.
CG,It is heavy weight if u use more ull feel it hard to hold on regular note!
OR,"There have been multiple issues faced since started installing and restoring from icloud. Gets hanged/stuck, suddenly WiFi gets disconnected and doesn't get connected till restart, deteriorated network speed on usage of the data....."
OR,"First off, the battery life is INCREDIBLE! This is the first phone I have used where I can get two days of use on one charge! I would regularly charge the phone overnight one night, then go to bed at midnight with 55-60% left the next night, leave it unplugged, and finish the next day at midnight with around 2-5%. The size of the phone was just just about perfect for holding/scrolling with one hand, and I usually wear men’s size medium gloves for reference."
CG,"When compared with XS only visible difference would be screen, that too when kept side by side."
CG,"Awesome IPhone.. I have upgraded from iPhone 6 and I can notice the significant different in display, touch and XR is certainly faster. It’s worth the upgrade..! Thank you Amazon for delivering it securely."
OR,"Got this phone for offer price. Everything is great from packing to delivery. Display quality is very good. Dual sim option is very good, got esim from airtel"
OR,Bought this phone for my wife. She's absolutely happy with the phone.
OR,I want to replace this iphone because since i got this it worked well for w week then later on its speed is slowed down and even it hangs sometimes. Its been 3 months since i got this n i m already irritated with this device. My lighting usb has already stopped working .
CG,Great phone for better photos and low light battery usage is much better than X
OR,"So overall it’s a pretty nice phone, I honestly don’t find much difference in features from my old iPhone 6. Apart from face recognition."
CG,Good phone
OR,"I’ve been using Android for close to a decade and now decided to check out iOS. Thanks to Amazon Prime Sale, got iPhone XR for a discounted price(Still expensive), Coming to the iPhone itself, after using phone for 3 days, below are the points I came across."
CG,Using this phone since 2 months. Here is my review. Hope you will find it useful.
OR,"I was skeptical looking at some XR reviews and also purchasing an iPhone off Amazon (previously always bought through Apple Stores). However, so far happy with what I have. The delivery was fast (on Prime, next day); all original packing (phone box) and phone is working fine. Touchwood - no issues. The Deal was good with the 10% additional HDFC discount. Go for 128 GB (or even higher) - the few extra thousand are worth it when you run out of space."
OR,I got a defective iPhone XR. The screen is defective. There’s a blue shade on all the four sides of the screen. The phone’s working completely fine though.  So whoever purchased the phone while unboxing please check your device thoroughly. It was my mistake that i thought that maybe it’s something related to software which will be fixed after software update but it didn’t. And in that belief i skipped my 10 days return policy as well. I still don’t blaim amazon because i have purchased my Airpods from them as well. But still appario should not sell defective products to customers. Now i have to go through a hassle of getting the screen replaced from service centre and for that service centre will keep my phone for at least 7-10 days. It’s disappointing that i have to go through all this for a brand new phone. The reason why i didn’t upload a pic is bcuz it will not be visible in a pic taken from another phone.
CG,ALL good
OR,"I chose iPhone XR over x. The reasons are, it is 6.1-inch display and supports dual sim. the Battery Durability longs last. I got the Brand New peace (made in 2019, September) without any defect."
OR,"During the great India sale, I saw this model on offer and my sister was dying to get a new phone since her old phone was barely keeping up. I finally made up my mind,, arranged the funds and got it for my sister."
OR,"Phone looks beautiful. I bought it just one month before thru Amazon, when I put my sim it's speaker has not been working , it is difficult to listen voice sometimes it becomes disconnected. Although my android phone is working good at the same place. I don't know whom should I contact about my complaint."
OR,"After transition from Android to iOS, I felt Android is more user friendly compared to iOS."
CG,I am not able to activate iphone after several attempts. Today only i purchased.
OR,Hello friends!! This is my honest review after using it for almost 2 months. I was using android since last seven years but then I decided to go for iPhone. Here are the pros and cons according to me which I have felt after using it for almost 2 months
CG,So upgrading from 6S+ to XR. First reactions:
OR,Everything look good but I never expect.
CG,"Upgraded from 5s to xr after 3 years of 5s use. Purchased it at ₹37999 after low battery issues with 5s. Why I choose xr rather than iPhone 8 ,7 or even 6s even when I bought 5s after 3 years of its initial launch is"
OR,"Before I start this review I’ll let you know, I love the Apple brand and I’ve never used a 1080p OLED phone in my life (This screen seems perfectly normal to me). That being said I’ll dive into the review. I got this phone on the Prime day sale and I’ve been using it for almost a month now and here are my thoughts about this phone."
OR,Got this product in the amazon flash sale and got a decent discount. Have been using the device for a few days and can certainly say that this iPhone has the best battery life till date. Phone lasted for almost 30 hours with heavy usage. The face recognition has certainly been improved from iPhone X. The only thing I dislike about the phone is the Screen Quality. You won’t find any major difference in the screen quality unless and until you stream Netflix or watch YouTube. Overall I feel this is one of the best iPhones apple has launched.
CG,You will always feel cheated after buying an iPhone. It will get cheaper by every next 2-3 months.
OR,"I have been using this phone for a while now. When I decided to buy this phone I checked on negative reviews first and after buying thought of using it first and then give a feedback. This is the perfect Phone with all advanced features for a normal user, which is worth for the price. Moving unto the flaws seen on the feedbacks, most of them complaining about the display being low resolution and LCD. In my opinion you won’t spot any difference with other iPhone displays. Another thing I’ve seen than lot of people complaining about the single camera, however, the picture quality you get will amuse you."
OR,"Bought this during Prime sale. I love to use Apple products because of its simplicity. I was using iPhone 6 and thought of updating. While the XS and XS Max are more than a Lakh in India, iPhone XR is bang for the buck. The prime day deal was more sweet and surprise to me. The operation and touch responses are silky smooth. Dual Sim with the eSIM works like a charm. Rear camera is awesome with face detection AI Bookeh in Portrait mode. Screen resolution is very good and crisp without any pixel issues. It lacks 3D Touch but Apple incorporated Taptic Engine which will be updated to replace 3D Touch functionality eventually (though some are present now, it is limited). Some APPs are not good in the notch area though but it is ok to manage. Overall a nice update."
CG,Received the product next day only but packaging was not good as it is a cellphone box they should cover it with some thing  Phone is working fine but some times apps automatically closes I am a bit confused if it is a genuine product or not  I would suggest people not to buy from amazon you should go to your nearest store and buy it
CG,I am a recent convert from Android. I have used Samsung and Xiaomi phones earlier. Here is my initial impression:
OR,"Don’t get swayed by some lame reviewers on YouTube. If u r holding out for an iPhone purchase then this is the real deal. The Xr is a jack of all trades although not excelling in any. The A12 Bionic is a beast,n’uff said already, the stereo speakers sound sweet and battery life is great. I found the most bashed about lcd display very pragmatic for everyday use.The portrait shots taken with the camera look a stunner.With the reason price cut , this has turned out to be the VFM iPhone ever made"
CG,Received product yesterday and product looks perfectly awesome.
OR,Excellent phone. I am using it since 3 months. No problem. Classy product. Bought during Diwali sale @39k. Excellent battery backup lasting more than a day. Mind that I am a heavy user. Excellent photos. SIRI works well. No issues faced. Must go for it over other Chinese product in this price segment.
OR,Iphone not working since I opened the box. Apple support of little help. Amazon not taking the return. Asking for a report from Apple. Now I have to chase Apple to get a report. Nightmare starts when you buy from Amazon.
CG,There are many pros about this phone which you must be already aware of . I would like to point out at cons
OR,Face ID and front camera portrait mode isn't working just after 3 months of purchase. It must be a problem of true depth sensor. My city (Imphal) apple servicing centre doesn't allow me to take for servicing and tells me to go to Guwahati (Assam) for this problem. May be a coincidence because this problem happened when I used amazon basics 10w fast wireless charger which I combine with xiaomi quick charge 3
CG,I was using iphone 6 since last three years before switching to Iphone XR. The following are the things that impressed me the most.
CG,Camera superb
OR,I bought this iPhone XR from October Amazon Great Indian Festival at deep discount. At Rs 38000 after all discounts were applied was a WOW deal. THANK YOU Amazon.
OR,"Nothing can beat iPhone. This is my fourth phone (iPhone SE, iPhone 6, iPhone 8 and now this) purchased from Amazon. All are excellent phones. Except for screen resolution, iPhone XR is nothing less than XS or XS Max. In fact, the battery life is twice as that of iPhone 8. Face recognition is excellent even in dark while android phones lack this technology. White is a beautiful color. Delivery was before scheduled deadline and in good external packing."
OR,"I was bit worried about the authenticity of buying iphone online with unknown seller and by paying huge amount ,I took the  Risk but i would say amazon and seller  has done a wonderful job ,i checked the product  in apple website and its a genuine product with 1 year warranty..iphone is iphone with best processor,camera ,good battery life ,good for gaming and with  regular  updates from apple .."
CG,IOS:
CG,It’s a very awesome mobile. Overall it’s really good. Hats off to apple that they provide these kinda of awesome products.
CG,The iPhone XR goes blank the next day!!!
OR,"Was sceptical at first. But after I received the phone it’s good and in mint condition. I am upgrading from iPhone 7 and it’s worth it. My iPhone 7 was 3 years old, and was lagging before I took the leap. Camera is more like the android phone with some Chinese lens I think. Battery life is so soothing! Face recognition is like butter. (Don’t know what will happen in the future) best part upgrading is the screen  size. Totally worth it. Videos are a bit dull but for the cost it’s worth it!! Thank you amazon for not sending a duplicate phone."
OR,Well after buying this iPhone i am never switching back to android.
CG,In two months the phone got destroyed its screen is filled with water its ip certification is nil bloody ios.....
OR,Battery quality is worst I have honor 8c and it gives 2 days backup and this phone last only 12 hours with medium usage no fast charger takes tradatitional 3 hours for full charging if u want to waste your money then go for it if u r not brand conscious buy other brands phone with much more better  configurations that too almost half of its price
OR,"Their is No earpods no lightning cable or connector in that box and will call after few minutes it blanks the call,not even a bip. Kindly give me some suggestions to rectify that"
OR,"Got it for 38k during prime early access, one of the best purchase for value of money is considered. iOS 13 future releases might make it even more snappier and battery consumption efficiency. Played WOW Blitz in 60FPS and found no issues. Will post the PUBG and Fortnite review in few days. Battery back up is about 6hrs screen on time for apps usage scenario."
OR,"I ordered this phone on Diwali offer. The phone which I got first had display issue , so I got replacement for that.my previous phone was iPhone 6 Plus.  After one week of using this phone, these are my honest review.  Firstly the phone has excellent battery life . For average use, the battery lasts more than a day easily. Although charging takes time ie about 2 to 3 hours from 10% to 100%. As I am used to iPhone home button, I’m feeling a bit uncomfortable with this phone as it has no home button. You have to swipe up every time from bottom to top to unlock the phone. It has no finger print sensor . So it’s a bit difficult to unlock while ur in bed as u have to put ur face in front of the phone for FACE ID. Reach ability is an issue if u use one handed. Especially while using Facebook, when u have to swipe down from bottom line to make ur finger reach the top screen clicking options. Display of the screen is a bit below iPhone 6 Plus. So all in all the phone is just about satisfactory."
CG,Good at 52k (the price at which I got the phone). The phone wasn’t worth 76k when it was launched but at 52k it justifies itself.
CG,"I have bought it during prime sales , aside from discount i have bought it by paying just 36k"
CG,"It's the latest offering from I phone. Simply great. Camera is superb. The glass back looks ultra premium, though I would suggest you to get a back protective case as glass is fragile. Got it in white and had to pay 1400 extra but it looks the best in white. You are spending 60000 on a phone so what's 1400 more to get the best"
OR,"Fantastic mobile. Nicely integrated hardware and software nothing ever comes close to an Apple product. Smooth touch no lag, face identification works well. Camera is good. Battery lasts for 24 hours with moderate usage. Superb audio and video quality and iOS updates are always smooth. The apps are wonderful.👍Amazon delivery was on dot. the same offer is available at authorized reseller stores which happens around the time Apple launches a new version of iPhone."
CG,IPhone SIM CARD SLOT NOT WORKING right from the beginning.
OR,"Dude i was confused first that which one i should buy oneplus 7pro or iphone xr, so i choosen xr for 40k on offer and every thing ia good but i am dissapointed with tha camera quality and display quality really i have iphone 7plus also but the display is far far better then xr and the camera is also better but i know iphone 7plus has dual camera and that's ok but dude detailing is missing and also zooming is also missing we get digital zoom which reduces tha quality...."
OR,"In my initial review, I said that the iPhone XR was the best iPhone for most people right, and my thoughts about it haven't changed six months later. This is still the best iPhone in the market, offering the same smooth and terrific user experience as the more expensive iPhone XS and XS Max, but with the knowledge that you're also getting the best battery life. In fact, the battery life is at par, if not better, to what the P30 Pro and the Galaxy S10+ offer and that's saying something."
CG,"I am facing cellular network issue with every new update. As per my understanding, Hardware is not compatible with the OS."
CG,I have purchased this Apple iPhone XR (64GB) - Black for my use.
CG,"I got it during great Indian festival for 38,000rs. Great value for the price."
CG,it has a receiver failer problem
CG,It was my first iphone till date i was an android user . But believe me once you get over these phones you wont switch it away
OR,iPhone XR is still a great buy. The price VS performance ratio on this phone makes it a very sensible buy. If you don’t care about the latest and greatest this one year old offering from Apple is a far better buy. Only down side on the phone are as follows:-
CG,"Never thought about purchasing XR but couldn't stop myself when i saw this deal . Taken sudden decision and bought this. Very much worried till the delivery suspecting that the product would be refurbished or duplicate. But amazon kept thier commitment, i received a brand new orginal iphone."
OR,"First of all the Face ID is crazy fast and accurate even during pitch darkness. The phone is fast and smooth, you don’t feel like you are having just 3Gb of RAM, it handles anything you through at it without a hitch. The phone does feel premium and at the same time delicate because the backside is glass,”as you know glass is glass and glass will break”. The pictures taken from the camera are good but the lack of night scape sort of things is a con. Overall the phone is great, although the side bezels are thick, you get used to it. The LCD screen does not lack anything compared to the OLED’s in day to day usage. You just stop thinking those things when you are using daily."
OR,I was looking to upgrade from my iPhone 6 and was confused about iPhone 11 & iPhone XR. Decided to go for iPhone XR just from the cost perspective. Only from Camera and Processor POV there is an upgrade in iPhone 11 rest remains the same.
CG,Bought it for 45k during sale
OR,"I had been using iphone 8 plus before and not a single time did I ever experience that phone heating up even after extensive usage. This piece however heats up to the extent making it uncomfortable to hold. If I use it for less than 10 mins, it works fine but any usage beyond that makes it hot. And on top of that, if the brightness level is set to max, its becomes an iron box(pun intended). Not expected off an apple device !"
OR,"the screen has a slight dot at the bottom which i noticed while fixing guard. If it comes out as mfr defect apple will certainly fix it. but doesn't seem serious, will take to apple while it is still in warranty to know more and update."
OR,Got the 128 GB model since an iPhone almost always run out of space and never have the option for an SD card like Android devices.
CG,"Overall the product is good from face id to Liquid retina. One thing surely standout for me is its surrounding speakers, they are really good(as per my experience), i got impressed With the work they have put in speakers. Sound is loud and clear."
OR,"M an iphone addict... my first was iphone 4, then 6 which my brother gifted me but this time i upgraded to xr with my own salary n m really happy ... specially the battery life.... and  As i dont use camera much so potrait mode is not of much use to me.. face id recognition very nice... though u dont get the feel of holding iphone as it little bit big and on bulky side as compared to my iphone 6.... rest fuctioning everything is smooth so i think its worth the purchase... and if u have iphone 6 or 7 than only go for upgrade as i did lot of research and 8 and xs and xr they almost similar except for few features...."
OR,"I am more or less stuck with the iOS platform because of the iwatch since I love its functionality. Upgraded from my 3yr old iPhone 7, was actually waiting for prices to drop post September this year  but when Amazon came up with an unbelievable prime deal, I couldn’t resist!"
OR,"Easy to use, serves the purpose. I was an android guy for like last 7 years before that was using blackberry in between switched to ios as i used iphone 5c but at that time i was a bit disappointed may be because quite young i was and a bit techie but now i use my phone for basic purposes like calls, whats app, email, social media n bit gaming n music so it really handles that well though i was a bit hesitant at first as i was used to of finger touch sensor but seriously face recognition is damn good it works like a charm even when there is no light, so if you want no nonsense stuff n if it suits your requirements then go for it as now a days even droids are equally expensive in-fact some are more expensive like fold, razr etc. so just listen to your heart and buy ios or android and you wont go wrong, though i got mine in an offer for ₹43000 for 128 GB variant"
OR,"Purchased this phone for a friend and he is very happy with the performance of the phone. Camera quality and features are the industry standard. For anyone refraining from buying an iPhone because it has only a single SIM slot,  please be informed that this Phone does support Dual SIM if you use E-SIM. Airtel and Jio, for now, has E-SIM facility. For a more detailed review do visit my review website at excitedneurons(dot)com"
OR,"Awesome product !! Far better than spending almost double for Xs, XS MAX, 11 as the difference is only display and camera. Otherwise everything is same. It would be definitely a bigger upgrade if anyone is switching from iphone 8 or 8+ to it. The entire UI is different. Icing on the cake is the PRIVACY, its the utmost priority of Apple it seems. Without you face id, nobody can see even the notifications. Its a must buy product."
CG,"I still don’t understand why people are crazy about iPhone. I bough this phone for 42k in great Indian sale couldn’t find much difference so for. It’s been a week now. My old android is doing all the operation faster then this which detected my face quickly. And that has fingerprint support also. I am also crazy about this phone. My friend told that he will never go back to android again. That’s the one reason for me to buy this phone. Let me wait for one more month to become addicted.  Till then I’ll leave the rating to 4*. When you think that this phone is expensive, that’s proving that this phone is for royal customers :p. Go for it if you are affordable."
OR,I have received this product with manufacturing defect in it. Screen has LED bleeding problem. Contacted the service team of Apple and they are ready to replace.
OR,"The iPhone XR is by far the best that Apple had to provide in the recent years with no doubt. Right from the camera to its horsepower battery backup, everything is top notch."
CG,I bought XR after 11 came out. I read a few articles and saw a few video reviews which said that the real difference between the phones was the camera and that it was negligible and not worth the price difference.
CG,"My Opinion-I don't know why people are saying it's an excellent display, personally i don't like the display at all, No doubt colour accuracy is good, Touch response is good, but it not that sharp, text looks blurry."
OR,"I've been using my iPhone XR for over 10 months now. So far, everything's hunky-dory."
OR,"Thanks to amazon for giving it for great deal, iphone xr 128gb is absolutely fantastic, with good battery life, camera, and performance. Since 6 months waiting to upgrade from 6s, compare to 6s xr a bit bigger in screen size for me apart from that its a great device to use, thanks to the seller 3 years back got 6s from the same seller and it still works pretty well without any issues."
OR,"I love this phone... especially since I wanted it for a long time... would recommend it for both apple owners and those looking to become iPhone owners...camera quality is amazing... was able to activate the esim without hazzels.. 2 reasons that I switched my old phone for...size was a concern initially since I was accustomed to only iPhone 5, SE, 6... lightning cable is a disadvantage  with this phone as the charging point n headset points are the same... but I knew it when I was getting it... so got used to it now"
OR,I believe firmly that this is the Best Affordable Phone Apple has ever made!!!
OR,"Battery life will surely amaze the buyer, I use to charge my iPhone 7 Plus at the 100 percent to my office at 10AM  and while returning by 7 PM it used to be approx 7-8 percent remaining. I use my phone for basic tasks and PUBG during break. Now when XR came to my hand the very first day I forgot to charge my phone to 100 percent and took it to my office at 62 percent. Amazingly it had 33 percent charge while I was leaving my office and I even played 3 evoground matches of pubg that day during my break. It was my dream to have long lasting iOS enabled devices which came true with this spectacular device. One should blindly go for it if performance and battery is your huge concern."
OR,Wow Wow Apple iPhone XR Looks Amazing In Stunning White Colour Thanks To Amazon For Giving For Best Price In The Market Love You Amazon For Quick Delivery But Packaging  Is Not That Great It Should Be In More Secure Packaging  When Comes To Phone After 8 Years I am Using Again iPhone Before I Used iPhone 4s Now Again Coming Back From Android Phones To IOS Makes mee feel Happy And This Phone Is a beast go for it .
OR,"I was always an iPhone user  till 8+ , then thought of changing to note 8 I loved that phone too but over the period of time I started realising there is nothing like IOS and iPhone. After using two high end androids (i keep changing phones) I witched back to iPhone and OMG I must say it has even become better it is so smooth like a butter on pan and IPhone X r is beauty, Liquid Retina is awesome and beautiful will not make you miss oled also the battery back up is woooowww .  This is the first ever phone I bought thru AMAZON I was skptical but thought of taking risk and yes Amazon delivered what they promised thru FREEDOM sale got a very good deal for 128 gb everyday I fall in love with this phone .."
